age,amneties,area,atmDistance,balconies,bathrooms,hospitalDistance,price,restrauntDistance,schoolDistance,shoppingDistance,status
0,0,1250,0,1,3,0,3300000,0,0,0,2
0,0,3000,0.47229360431952316,0,7,0.45918830482306466,12500000,0.46026493410549735,0.47989366559008595,0.5122641615446376,3
0,0,3100,0,2,4,0,8000000,0,0,0,2
0,0,1500,0,1,3,0,4750000,0,0,0,2
0,0,1500,0,1,3,0,3800000,0,0,0,2
0,0,1500,0,1,3,0,4250000,0,0,0,2
0,7,1750,0.37556090179190704,0,3,0.31863368292075167,12000000,0.36134643843330105,0.3873513239980392,0.3709838138752374,2
0,0,2100,0.4286405440269366,0,3,0.4696421095957676,7600000,0.4062072059961728,0.4336752627840845,0.48531380792228007,2
0,0,1250,0.30392291554714623,1,3,0.3195185093725223,4000000,0.3118178413001956,0.27968833138591914,0.28513073239615905,2
2,0,2642,0.5645519938255795,0,4,0.5321386126096651,14900000,0.5257727018785564,0.5643612219427587,0.44270742006877667,3
0,0,1250,0,1,3,0,4000000,0,0,0,2
0,0,1250,0,1,3,0.16620083086467302,4050000,0,0.18453604413197966,0,2
0,10,2511,0.5500740043082517,0,3,0.5875875288131627,20100000,0.5558949359780537,0.5770507747236738,0.6603164656007737,2
0,0,1230,0,1,3,0,3031000,0,0,0,2
0,0,1250,0,1,3,0,3300000,0,0,0,2
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,6534,0.28367289614381175,0,0,0.27663700025164945,4650000,0.2678347695543496,0.2740949530462701,0.26183961510802367,1
0,0,1250,0.21705789053339164,1,3,0.2298365755960024,3950000,0.22322979641918517,0.23395249192492543,0.19667881879254695,2
0,0,1000,0.3401266228668201,0,3,0.5564459135698088,3100000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,1500,0.5464036690387111,0,3,0.5323730765611945,5000000,0.5323767052369607,0.5447584967927985,0.5728392837255397,2
2,0,3000,1.0881943475514297,0,3,0.9097656036660635,23500000,0.9856733073247274,1.1096618386365755,1.033816397056108,3
0,0,6727,0,1,4,0.3632361240709474,4900000,0.17061694504555597,0.3051723063147306,0.6466441462518556,3
0,0,4356,0.6137641779088492,0,0,0.6456298691406334,8250000,0.6242365922516401,0.6483687216857055,0.6504553768207366,1
0,0,5382,0.49598778490967177,0,0,0.5067331929434841,56400000,0.4336463252999159,0.4665678451696927,0.3967204336309912,1
0,2,2847,0.7706472596091474,0,0,0.677774024063833,11050000,0.7459435506021175,0.6652484053563221,0.7069736472225073,1
0,0,1250,0,1,3,0.16620083086467302,4050000,0,0.18453604413197966,0,2
0,0,1500,0,1,3,0,3130000,0,0,0,2
0,2,2100,0.4608140560293315,1,3,0.4808802583586031,8000000,0.45540785607585405,0.5202390087579495,0.5258532880269391,2
0,0,2100,0.33149071073570724,0,1,0.31896957631795936,8500000,0.3690982541018343,0.3369057926189307,0.31583746921300443,2
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,1500,0,1,3,0.16620083086467302,4250000,0,0.18453604413197966,0,2
0,0,1500,0,1,3,0,4500000,0,0,0,2
0,10,1092,0.37260140738529585,1,3,0.33886498500532447,4400000,0.37049893408836193,0.4114475820756238,0.38133384633696304,2
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,4250000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,1250,0,1,3,0,3300000,0,0,0,2
0,0,10000,0.3181339787179751,0,0,0.33507885086877126,9900000,0.2917885563552003,0.32025735615476325,0.2544713951434431,1
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,2100,0.3813850641589046,0,3,0.39333254130320655,7600000,0.36460296598820335,0.39175493228295605,0.4312086401506141,2
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,1250,0,1,3,0,3300000,0,0,0,2
0,0,1500,0.24662528620527316,1,3,0.28113318706568236,3950000,0.24780725211877994,0.23624613542374162,0.23033583516674946,2
0,0,1250,0,1,3,0,3000000,0,0,0,2
0,0,1250,0,1,3,0,4000000,0,0,0,2
0,0,1250,0.30392291554714623,1,3,0.3195185093725223,4050000,0.3118178413001956,0.27968833138591914,0.28513073239615905,2
0,0,2500,0,1,4,0,7344000,0,0,0,2
0,0,2100,0.2063855589279851,0,3,0.22043394427410082,7600000,0.23413423881166412,0.24648731813777278,0.19897085348019047,2
2,0,1250,0,1,3,0,3200000,0,0,0,3
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,3550000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,1,1500,0,1,3,0,4250000,0,0,0,2
0,0,30,0.31862714822193816,0,0,0.33169913786411076,1000000,0.2927399531636064,0.2986481887128819,0.256312796235813,1
0,0,1250,0.3401266228668201,1,3,0.5564459135698088,3300000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,1500,0,1,3,0,4500000,0,0,0,2
0,0,4356,0.3959824572858191,0,0,0.40154864009792796,2475000,0.3971702678293165,0.46096386375821635,0.43667871027356703,1
0,0,2100,0.6061890808370296,1,3,0.614168162651383,8500000,0.6305981401055786,0.6740540352497354,0.6305166743128375,2
0,0,1500,0,1,3,0.16620083086467302,4250000,0,0.18453604413197966,0,2
0,0,1100,0.42012015211996834,2,3,0.40480817156729554,4500000,0.3787574431915948,0.3529565731917636,0.3633017124459518,2
